"Rank","Title","Rating","Appraise","Director","Actor","Type","Area","Sales","Date","Publish"
1,"战狼2",7.4,391814,"吴京","吴京/弗兰克·格里罗/吴刚","动作","中国大陆",567432,2017-07-27,"国产"
2,"美人鱼",6.8,398115,"周星驰","邓超/罗志祥/张雨绮","喜剧/爱情/奇幻","中国大陆/香港",339323,2016-02-08,"国产"
3,"速度与激情8 The Fate of the Furious",7.1,180975,"F·加里·格雷","范·迪塞尔/道恩·强森/查理兹·塞隆","动作/犯罪","美国",266870,2017-04-14,"进口分账"
4,"捉妖记",6.8,254044,"许诚毅","白百何/井柏然/姜武","喜剧/奇幻/古装","中国大陆/香港",243817,2015-07-16,"国产"
5,"速度与激情7 Furious 7",8.3,256544,"温子仁","范·迪塞尔/保罗·沃克/杰森·斯坦森","动作/犯罪/惊悚","美国/中国大陆/日本",241600,2015-04-12,"进口分账"
6,"变形金刚4：绝迹重生 Transformers: Age of Extinction",6.5,192956,"迈克尔·贝","马克·沃尔伯格/斯坦利·图齐/凯尔希·格兰莫","动作/科幻","美国/中国大陆",197630,2014-06-27,"进口分账"
7,"功夫瑜伽",5,98356,"唐季礼","成龙/李治廷/张艺兴","喜剧/动作/冒险","中国大陆/印度",175259,2017-01-28,"国产"
8,"寻龙诀",7.5,332907,"乌尔善","陈坤/黄渤/舒淇","剧情/动作/奇幻/冒险","中国大陆/香港",168036,2015-12-18,"国产"
9,"西游伏妖篇",5.6,221556,"徐克","吴亦凡/林更新/姚晨","喜剧/动作/奇幻/古装","中国大陆/香港",165678,2017-01-28,"国产"
10,"港囧",5.6,211160,"徐峥","徐峥/赵薇/包贝尔","喜剧","中国大陆",161183,2015-09-25,"国产"
11,"变形金刚5：最后的骑士 Transformers: The Last Knight",4.8,120102,"迈克尔·贝","马克·沃尔伯格/伊莎贝拉·莫奈/劳拉·哈德克","动作/科幻","美国",154562,2017-06-23,"进口分账"
12,"疯狂动物城 Zootopia",9.2,497087,"拜伦·霍华德/瑞奇·摩尔/杰拉德·布什","金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴","喜剧/动画/冒险","美国",153061,2016-03-04,"进口分账"
13,"魔兽 Warcraft",7.7,180976,"邓肯·琼斯","崔维斯·费米尔/托比·凯贝尔/宝拉·巴顿","动作/奇幻/冒险","美国/中国大陆/加拿大/日本",147194,2016-06-08,"进口分账"
14,"羞羞的铁拳",7.3,174298,"宋阳/张吃鱼","艾伦/马丽/沈腾","喜剧/奇幻","中国大陆",146416,2017-09-30,"国产"
15,"夏洛特烦恼",7.4,353279,"闫非/彭大魔","沈腾/马丽/尹正","喜剧/爱情","中国大陆",144905,2015-09-30,"国产"
